,год,время_года,климат,город,страна,способ_охлаждения,режим_при_смешанном_типе_охлаждения,способ_обогрева,возраст,пол,ощущение_температуры,ощущение_температуры_(bool),предпочтительное_изменение_температуры,ощущение_движения_воздуха_(bool),предпочтительное_изменение_движения_воздуха,оценка_комфорта,утепление,температура_воздуха_в_помещении,rh,скорость_воздуха,рост,вес,занавески,вентилятор,окно,двери,среднемесячная_температура_на_улице,количество_рекламаций,countmen,реклам_категория,возрастная_категория,precent_satisf,стандр_комф_вл
60,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45,Мужской,1.0,1.0,Холоднее,1.0,Без изменений,,0.41,24.5,60.3,0.09,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,средний возраст,78,not OK
61,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35,Мужской,1.0,1.0,Без изменений,1.0,Без изменений,,0.46,24.2,47.5,0.07,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,молодой возраст,78,OK
62,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35,Мужской,1.0,1.0,Без изменений,1.0,Без изменений,,0.46,23.7,60.1,0.09,170.2,63.0,0.0,1.0,1.0,0.0,22.0,0,1,мало,молодой возраст,78,not OK
63,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55,Женский,1.0,1.0,Без изменений,1.0,Без изменений,,0.37,25.3,71.5,0.12,170.2,63.0,0.0,1.0,1.0,0.0,22.0,0,1,мало,средний возраст,57,not OK
64,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35,Мужской,0.0,1.0,Без изменений,1.0,Без изменений,,0.55,24.1,62.6,0.06,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,молодой возраст,78,not OK
65,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45,Мужской,0.0,1.0,Без изменений,1.0,Без изменений,,0.46,24.2,74.8,0.12,170.2,63.0,0.0,1.0,0.0,1.0,22.0,0,1,мало,средний возраст,78,not OK
66,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35,Мужской,1.0,1.0,Без изменений,1.0,Без изменений,,0.46,22.2,61.5,0.12,170.2,63.0,0.0,1.0,0.0,1.0,22.0,0,1,мало,молодой возраст,78,not OK
67,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,25,Женский,0.0,1.0,Без изменений,1.0,Без изменений,,0.4,23.2,63.2,0.09,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,молодой возраст,57,not OK
68,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,25,Мужской,0.0,1.0,Без изменений,1.0,Без изменений,,0.46,24.7,58.5,0.1,170.2,63.0,0.0,1.0,0.0,1.0,22.0,0,1,мало,молодой возраст,78,OK
69,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45,Мужской,0.0,1.0,Без изменений,1.0,Без изменений,,0.55,24.3,58.6,0.08,170.2,63.0,0.0,1.0,0.0,1.0,22.0,0,1,мало,средний возраст,78,OK
70,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45,Мужской,0.0,1.0,Без изменений,1.0,Без изменений,,0.46,24.3,60.0,0.08,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,средний возраст,78,OK
